Araç Durumu,Ağır Hasar Kayıtlı,Cep Telefonu,Garanti,KM,Kasa Tipi,Kimden,Link,Marka,Model,Motor Gücü,Motor Hacmi,Plaka / Uyruk,Renk,Seri,Takas,Vites,Yakıt Tipi,Yıl,Çekiş,İlan No,İlan Tarihi
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,255.000,Hatchback 5 kapı,Sahibinden,https://www.sahibinden.com/ilan/vasita-otomobil-renault-degisensiz-bol-extrali-clio-klimali-1256399778/detay,Renault,1.5 dCi Authentique,80 hp,1461 cc,Türkiye (TR) Plakalı,Gri,Clio,Evet,Manuel,Dizel,2005,Önden Çekiş,1256399778,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Evet,88.000,Sedan,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-1.59-kredi-2022-cikis-anhtrsz-calstirma-k-ayna-keyles-go-led-1256399758/detay,Hyundai,1.6 MPI Smart,123 hp,1598 cc,Türkiye (TR) Plakalı,Füme,Elantra,Evet,Otomatik,Benzinli,2021,Önden Çekiş,1256399758,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,58.000,Hatchback 5 kapı,Sahibinden,https://www.sahibinden.com/ilan/vasita-otomobil-mini-2019-mini-1.5d-dizel-saltpepperchili-58.000-km-cam-tavan-1255406807/detay,Mini,1.5 D Salt Pepper Chili,116 hp,1496 cc,Türkiye (TR) Plakalı,Gri,Cooper,Hayır,Otomatik,Dizel,2019,Önden Çekiş,1255406807,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,265.000,Sedan,Sahibinden,https://www.sahibinden.com/ilan/vasita-otomobil-audi-2015-cikisli-hatasiz-degisensiz-vakum-elek.bagaj-geri-gorus-1256395302/detay,Audi,A6 Sedan 2.0 TDI,177 hp,1968 cc,Türkiye (TR) Plakalı,Siyah,A6,Evet,Otomatik,Dizel,2014,Önden Çekiş,1256395302,03 Temmuz 2025
İkinci El,Evet,Bulunamadı veya gizli,Hayır,150.000,Coupe,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-tabu-motors-2016-bmw-4.20d-xdrive-m-sport-190-hp-150.000-km-de-1256392140/detay,BMW,420d xDrive Gran Coupe M Sport,184 hp,1995 cc,Türkiye (TR) Plakalı,Gümüş Gri,4 Serisi,Hayır,Otomatik,Dizel,2016,4WD (Sürekli),1256392140,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,67.100,Sedan,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-mercedes-benz-hyundai-bayi-arslanoglu-dan-c200-amg-9g-tronic-1256311524/detay,Mercedes-Benz,C 200 AMG,204 hp,1497 cc,Türkiye (TR) Plakalı,Gri,C Serisi,Hayır,Otomatik,Benzinli,2022,4WD (Sürekli),1256311524,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Evet,126.000,Sedan,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-citroen-c-elysee-1.6-hdi-live-126.000-km-emsalsiz-1252892374/detay,Citroen,1.6 HDi Live,92 hp,1560 cc,Türkiye (TR) Plakalı,Füme,C-Elysée,Evet,Manuel,Dizel,2017,Önden Çekiş,1252892374,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Evet,35.000,Hatchback 5 kapı,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-eroglu-motors-r-donusum-35.000-km-oz-jant-hatasiz-boyasiz-1255535416/detay,Volkswagen,1.0 TSI Impression,110 hp,999 cc,Türkiye (TR) Plakalı,Beyaz,Golf,Hayır,Manuel,Benzinli,2021,Önden Çekiş,1255535416,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,245.000,Sedan,Sahibinden,https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-2017-dizel-otomatik-hatasiz-boyasiz-tesla-ekran-megan-1256393966/detay,Renault,1.5 dCi Touch Plus,110 hp,1461 cc,Türkiye (TR) Plakalı,Gri,Megane,Hayır,Otomatik,Dizel,2017,Önden Çekiş,1256393966,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Evet,16.000,Sedan,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-fiat-12taksit-2023-fiat-egea-1.4-easy-benzin-lpg-hatasiz-boyasiz-1256393555/detay,Fiat,1.4 Fire Easy,95 hp,1368 cc,Türkiye (TR) Plakalı,Gri,Egea,Evet,Manuel,Benzin & LPG,2023,Önden Çekiş,1256393555,03 Temmuz 2025
